entrezid,degree
1,12
310,120
368,5
1026,229
2886,49
3958,74
4899,2356
6606,218
6622,177
7083,169
10321,1
10549,57
80854,34
2,136
60,369
250,25
259,17
292,155
293,109
309,34
347,17
348,64
351,1969
354,15
412,2
427,9
476,68
498,120
506,117
523,115
526,83
566,5
567,32
827,3
950,18
998,211
1022,121
1080,246
1200,17
1361,8
1508,51
1510,7
1511,32
1558,15
1562,5
1583,6
1588,3
1650,61
1743,37
1990,6
1995,11
2026,51
2193,35
2597,217
2629,36
2639,21
2669,42
2720,14
2885,923
2990,8
3014,233
3163,41
3309,367
3329,214
3337,73
3437,62
3553,18
3565,8
3586,6
3817,16
3931,5
3952,10
3964,27
4035,82
4069,31
4128,6
4313,45
4353,7
4653,46
4803,9
4846,65
5047,19
5154,19
5155,24
5309,76
5597,187
5657,15
5864,29
5886,149
5908,55
6009,31
6462,65
6468,44
7001,74
7045,11
7050,32
7052,104
7276,55
7301,36
7353,60
7372,23
7416,99
8626,130
8728,9
8764,80
8848,165
9114,26
9361,43
9510,7
10053,27
10263,21
10376,110
10724,30
10944,1
11051,124
11102,25
11140,280
11173,2
22976,253
22983,47
23154,22
23176,17
24138,20
26085,3
26270,589
51013,55
51295,77
54850,23
55207,13
55729,80
56729,4
57559,34
64223,30
81792,5
84106,25
93185,165
112398,26
115704,6
124912,4
126003,11
126074,7
140545,43
204851,40
548596,23
728642,36
9,4
7316,8799
8260,45
113000,5
120892,454
10,18
324,196
472,209
999,159
1029,181
1031,37
2064,277
3161,31
3480,101
4683,76
5888,119
6790,185
6794,135
7490,35
8493,25
9530,72
79728,36
12,32
125,6
525,79
1215,8
1504,4
1506,2
1991,34
2153,13
3211,11
4001,83
4312,19
4485,11
4790,412
5422,39
5684,262
6444,6
9507,15
9622,3
10057,7
10319,21
11330,7
30834,20
64215,8
14,20
1725,34
3297,116
5664,68
6293,51
6726,52
6915,39
7158,132
8553,78
10226,51
10537,644
11345,548
27250,40
51497,24
64127,52
64782,33
65265,50
81631,365
15,5
2147,48
4188,263
5566,597
7534,726
16,44
59,75
440,46
813,101
1017,878
1615,64
1933,74
2113,132
2335,743
2617,71
3320,784
3326,656
3376,89
3676,472
4234,32
4677,39
5529,37
5859,108
6777,82
7163,25
7165,49
7317,176
7412,421
7453,37
9775,270
10040,57
10055,45
10056,36
10095,55
27101,118
29904,164
51194,50
51520,52
51547,652
54878,17
54888,61
55611,366
57037,17
60491,108
91039,20
18,5
1398,346
7915,12
9531,439
19,55
316,5
335,83
1387,347
1457,583
1459,352
1740,45
1741,63
1956,736
3984,53
4008,37
4609,880
5174,31
5360,4
5987,290
6390,54
6640,39
6641,14
6645,25
7074,35
7360,43
7376,67
7402,47
7508,46
8517,395
8572,7
8772,76
8777,39
8825,36
9146,193
9231,24
9318,94
9699,18
9826,29
10211,106
10558,27
10594,117
10987,756
23365,17
23673,28
25814,42
26154,3
27295,13
50944,19
51366,101
51678,30
51735,15
55327,24
57120,86
64130,13
84708,240
284723,1
20,14
773,99
1213,234
3914,20
5097,11
5395,62
7533,277
10981,13
23131,18
54949,27
55069,13
55755,48
79621,29
21,4
821,146
27074,5
22,13
2235,19
2307,70
3396,256
4712,19
5105,72
7384,41
10016,68
23787,9
51382,34
124995,29
23,58
752,64
988,611
1653,119
1660,230
1781,36
2287,45
2869,203
3068,179
3181,182
3192,479
3608,224
3692,175
3725,1407
4133,51
4361,86
4670,251
4836,51
5564,171
5705,152
5706,107
5713,84
5714,71
5719,86
5725,112
5984,74
6045,703
6157,110
6613,1222
6732,279
8453,404
8726,468
8891,35
8892,37
9694,80
10528,209
10643,65
10949,100
22938,622
23019,72
23421,66
23644,40
27292,36
51637,59
54984,112
55646,113
55781,269
64210,187
79718,45
81789,15
285527,17
24,1
1258,4
25,378
27,52
29,6
58,170
142,241
160,63
163,95
197,14
274,53
301,103
322,84
326,74
367,341
545,125
573,71
598,103
610,9
613,88
656,10
672,425
675,70
695,155
718,35
729,9
831,38
842,56
847,29
857,184
867,285
868,69
887,12
930,25
983,408
987,16
996,95
1020,285
1027,92
1051,100
1058,82
1173,133
1195,63
1271,19
1326,67
1385,156
1399,120
1499,404
1501,22
1642,233
1643,58
1655,212
1748,15
1759,73
1775,2
1785,113
1795,13
1796,49
1937,166
1946,12
1951,19
2010,144
2017,182
2033,490
2042,44
2048,45
2060,141
2065,113
2066,61
2074,51
2099,729
2100,489
2130,263
2151,17
2295,5
2316,263
2318,95
2475,148
2521,145
2533,31
2534,395
2547,271
2550,19
2571,13
2799,27
2810,198
2876,15
2887,42
2889,24
2906,36
2954,11
2971,11
3055,96
3066,392
3073,34
3224,18
3265,124
3308,289
3312,365
3336,57
3609,323
3636,83
3689,63
3716,115
3717,157
3726,57
3815,103
3927,54
3980,46
4007,19
4036,59
4053,3
4067,258
4137,115
4193,430
4194,103
4233,136
4253,14
4288,39
4438,14
4439,8
4582,39
4638,30
4690,251
4733,42
4734,273
4739,49
4792,158
4854,31
4914,65
4926,78
4969,3
4998,53
5027,12
5052,129
5062,137
5071,380
5077,29
5111,265
5144,41
5159,103
5163,40
5203,27
5295,304
5296,114
5310,35
5335,211
5359,122
5424,67
5430,245
5530,57
5580,285
5587,74
5591,277
5685,88
5688,116
5710,150
5770,117
5775,19
5777,131
5782,79
5829,115
5883,38
5893,48
5901,144
5921,104
5925,260
5989,25
6091,16
6098,8
6176,117
6227,107
6452,33
6461,24
6464,259
6549,12
6581,3
6654,77
6655,26
6667,258
6700,12
6708,28
6709,164
6714,557
6733,264
6764,12
6788,160
6789,304
6792,38
7013,317
7015,73
7080,21
7112,93
7150,124
7157,768
7161,121
7189,508
7272,67
7275,11
7409,92
7441,4
7454,101
7529,381
7531,402
7532,419
7535,98
7536,204
7874,228
8202,120
8470,53
8482,7
8506,16
8529,8
8601,49
8646,29
8651,67
8724,54
8751,39
8871,19
8933,8
8936,45
8976,70
9021,83
9046,31
9051,70
9054,8
9187,8
9228,18
9229,32
9282,68
9472,18
9564,80
9569,10
9610,24
9744,14
9757,35
9784,20
9793,64
9820,38
9908,53
9991,288
10006,88
10021,8
10075,115
10152,89
10163,42
10174,60
10236,172
10262,108
10273,264
10278,25
10399,196
10413,139
10524,222
10557,38
10580,42
10598,49
10618,29
10725,17
10728,99
10750,32
10923,46
10970,53
10971,442
11073,59
11116,115
11176,20
11183,33
11184,38
11248,8
11250,4
11315,79
22839,26
22999,25
23002,26
23114,18
23136,99
23230,8
23327,155
23385,113
23429,48
23607,77
23616,17
25920,22
26052,22
26469,13
26524,148
26960,12
27120,6
27154,7
28996,73
29886,15
29934,13
30009,8
30011,194
50807,41
50937,8
51428,159
51466,32
51517,30
55014,26
55114,31
55321,1
55379,51
55589,32
55740,42
55824,23
56141,3
56658,67
56897,35
56955,9
56961,7
56995,5
57142,71
57190,7
57396,20
57506,60
57716,11
58512,21
60385,9
64111,3
64714,24
64780,18
64857,10
65268,11
79577,90
79705,88
79723,48
79890,45
79930,16
80725,10
80831,7
80852,11
81857,46
81928,6
83541,24
83660,18
83939,26
84287,2
84959,92
85021,26
85358,22
85439,35
90990,6
91179,8
91746,42
91768,10
92591,24
114784,6
114879,15
118788,8
126669,3
127933,48
128853,11
139716,9
170825,2
284086,46
344148,7
3141,83
3688,122
4294,34
5175,33
7164,18
8832,6
10572,31
11339,31
51564,113
57091,2
80306,90
81545,12
28,3
57520,276
65983,8
84283,15
148,10
1894,153
30,18
3295,39
4695,47
4701,65
5479,68
6223,161
6342,37
7419,49
8520,36
25921,5
51061,21
51119,38
57794,50
58477,82
84324,46
116540,51
31,72
156,202
408,261
648,368
768,31
1019,281
1025,288
1114,44
1315,80
1445,147
1452,308
1454,361
2036,44
2932,444
3065,588
3434,40
3611,449
3799,96
4163,245
4298,33
4300,43
4869,556
5261,255
5562,142
5563,109
5567,153
5610,248
5695,71
6195,254
6310,267
7203,165
7334,192
7415,493
8518,63
9391,65
9943,162
10494,178
10762,38
11337,478
23411,297
23512,348
54821,17
55671,21
55827,24
55872,102
57016,4
112858,186
32,14
919,136
1994,1526
23243,94
33,1
34,17
801,367
2108,32
2109,16
8192,54
8452,1097
10868,61
11171,76
23710,517
373509,25
387082,107
35,2
1871,148
3665,49
36,9
10869,62
23322,146
26123,291
57096,56
57187,79
85302,140
37,22
213,182
1386,239
3796,46
3921,164
5036,97
8562,15
10243,28
10632,18
10988,19
23409,111
55756,14
79072,69
38,44
50,15
189,5
1434,96
2305,68
2688,85
3106,296
3107,62
4141,63
4350,89
5191,9
5885,225
6294,77
6389,78
6742,90
7341,777
7381,28
8266,282
8454,629
8458,49
9898,39
10014,341
10289,165
10449,24
10469,31
10985,77
23043,119
54543,20
81027,47
100128525,19
39,36
191,70
223,16
1045,18
2271,42
2778,64
3149,19
5315,137
7408,85
8900,86
9039,36
9061,30
9474,96
10381,85
24140,105
26007,19
29101,26
29789,36
29968,24
125488,3
40,3
9311,7
9399,7
9463,57
41,5
4287,81
43,16
1277,51
1282,34
2023,114
2801,304
3912,25
8292,4
9421,16
11016,49
145270,1
284217,35
100529141,2
47,50
382,153
3276,156
3838,182
3840,48
4171,105
4175,90
4691,244
4831,87
5537,40
7014,254
7022,88
7030,51
7428,437
7706,64
8412,75
8793,48
8841,270
9636,180
9641,373
10916,50
22926,31
51593,48
51741,235
55832,630
57122,76
142685,19
48,22
207,499
1503,63
3956,55
4604,21
4703,39
4882,38
4904,347
5578,425
6445,22
8335,49
8624,26
8880,70
26112,6
26234,22
28960,33
113246,9
49,5
1874,66
5104,25
7783,4
7784,12
4292,165
23524,211
25942,197
140462,34
342371,63
51,18
1340,12
1632,7
4074,20
5195,67
5830,58
6182,65
6191,203
6517,45
7335,153
9380,14
23022,35
54732,47
219743,6
52,34
580,258
1969,53
2035,142
2047,23
2167,16
2908,215
3643,105
3791,70
3932,196
6136,131
51460,18
54874,11
55052,25
55110,32
53,7
7386,45
10951,89
51726,66
54,12
1959,19
2239,13
5516,141
5601,145
6118,448
6696,88
7704,123
8743,22
9141,28
9410,44
54978,22
55,5
71,156
159,28
199,5
881,4
1000,68
1072,99
1264,13
1432,338
1500,65
1739,97
1756,42
1773,5
1837,25
2037,33
2059,71
2120,38
2620,4
2638,17
2934,50
3059,74
3673,25
3706,8
4130,36
4306,31
4632,13
4646,44
4647,15
4650,12
4651,20
4892,7
5058,234
5201,89
5216,68
5337,36
5460,64
5499,337
